,"image","OCR","role","entity","abstract word","explanation","caption"
0,"memes_1452.png","THE DEMOCRATIC PARTY
presents
THE THREE STODGES
WATERS
WARREN PELOSI
","villain","democratic party","unpleasant","the democratic party is shown as engaging in unpleasant work","the three stooges poster for the documentary party"
1,"memes_822.png","FUN FACT:
Obama and Trump's
combined IQ is the
same as Obama's.
imgflip.com
","villain","donald trump","zero IQ","Donald Trump is portrayed as having zero IQ","the difference between obama and trump is the same as obamas fun fact"
2,"memes_349.png","AMERICA WOULD BE
GREATER
IF I STOPPED
OBSTRUCTING
mematic.net
","villain","mitch mcconnell","sabotaging","mitch mcconnell is portrayed as sabotaging the country's progress","a picture of politician with the caption america would be greater if i stopped bothering"
3,"memes_4355.png","shailja
eshaljast210
the loser tonight was america folks
#PresidentialDebate
the moderator
trump
biden
S12 AM - Sep 30, 2020. Twitter for Pone
","villain","moderator","inappropriate","the moderator is portrayed as inappropriate","a video of a man standing in front of a group of people with their hands"
4,"memes_1628.png","THE PARTY
OF HATE
****
DEMOCRAT
THINK ABOUTTHIS
THE NEXT TIME YOU VOTE
mgtipe
","villain","democratic party","hateful","the democratic party is insinuated as hateful","the party of hate democratic think about this the next time you vote logo"
5,"memes_4552.png","PRESIDENTSSALE
**
DAY
EVERYONE
MUST GO
Stop The Republican Party
","villain","republican party","quit","Republican party is portrayed to quit the senate altogether.","the presidents sale day everyone must go event poster"
6,"covid_memes_3010.png","When China says calling
COVID-19""Chinese Virus
is racist
Japanese Encephalitis Virus,
Spanish Flu, Ebola and Zika
virus
Amlajoke toyou?
","villain","china","hypocritical","china is portrayed as hypocritcal","a picture of a man with the caption when china says calling covid 19"
7,"covid_memes_2076.png","People Who Invented
Vaccine
MPOKYPATVP
ABTOHOMHOT
ECTIVERINE
Puin Who Only Announced
Vaceine
","victim","people who invented the covid19 vaccine","ignored","people who invented the covid19 vaccine are portrayed as being ignored","a bunch of microphones sitting on top of a table"
8,"covid_memes_245.png","AM I THE ONLY ONE AROUND HERE
THAT THINKS WHO DIRECTOR-GENERAL TEDROS
ADHANOM GHEBREYESUS SHOULD BE CHARGED
WITH MANSLAUGHTER
","villain","tedros adhanom ghebreyesus","manslaughter","tedros adhanom ghebreyesus is accused of manslaughter","the only one around here that thinks who director general tedos adnan cheever"
9,"memes_2014.png","SUCK IT AMERICA!
WE KNOW YOU WON'T
VOTE 3RD PARTYI
","victim","america","taken advantage of","america is portrayed as being taken advantage of","a picture of a woman laughing with a caption saying suck it america we know"
10,"memes_2046.png","The e The
WHAT VOTING
FOR BUSH DID
WHAT VOTING
FOR OBAMA DID
WHAT VOTING
FOR TRUMP WILL DO FOR HILLÃ„RY WILL DO
WHAT VOTINGE
","villain","donald trump","catastrophic","donald trump's election is portrayed as being catastrophic","what voting forbush did what voting for bush did what voting for trump will do"
11,"memes_5955.png","THE FACE YOU MAKE WHEN CANADIANS
COMMENT ON AMERICAN, POLITICS.r.net
","villain","canadians","uninteresting","The canadians are depicted to make uninteresting political remarks.","a man is standing with his arms crossed"
12,"covid_memes_4777.png","""HOW WAS ONLINE TEACHING?""
This is a river of my
tears
","villain","online teaching","terribly hard","Online teaching is portrayed to be terribly hard way of teaching.","how was online teaching this is a river of my tears"
13,"covid_memes_3579.png","Me explaining my grandchildren
how a guy eating a bat soup in China
led to toilet paper shortage in US
","victim","us","turmoil","The US is shown to be suffer a turmoil due to a virus outbreak.","a man in a tie is talking on a television"
14,"covid_memes_1565.png","a Salu alu pa
It you're also teaching online, that's the most accurate
coronavinus era meme youl find 2
The World right now
Teachers teaching online
T2 PU V le
","hero","teachers","dedicated","teachers are lauded for being dedicated","a group of people playing music on a bridge"
15,"memes_1646.png","SINO-DEMOCRAT PARTY UNITES,
NOT JUST DEMOCRAT SOCIALIST ANYMORE
","villain","democratic party","influenced","the democratic party is portrayed as being influnced by foreign powers","two men in suits standing in front of american flags"
16,"memes_5910.png","THE GOVERNMEN
I can offer you security, I
require only that you kneel
LIBERTARIANS
Now see, that's gonna
be a problem
","villain","government","subservient","The government is portrayed to treat opposition party in a subservient manner.","the government i can offer you security i regulate only that you need liberians"
17,"memes_3859.png","SPOT THE DIFFERENCE
One's a farm animal, the other's a jackass.
","villain","donald trump","unintelligent","donald trump is depicted as unintelligent","a picture of a horse and a man saying spot the difference"
18,"memes_4749.png","LOOKING FORA
REPUBLICAN CANDIDATE
THAT DOESN'T ACT LIKE
A MORON.
BipartinanRepor
","villain","republican candidate","imbeciles","Republican candidates are referred as imbeciles.","a man with binoculars looking for a republican candidate that doesnt act like"
19,"memes_5166.png","THE REPUBLICAN PARTY PROUDLY
ANNOUNCES
THEIR NEW CHAIRMAN
makeameme.org
","villain","republican party","infiltrate","The republican party is depicted to let foreign powers infiltrate their leadership.","the republican party proudly announces their new chairman"
20,"memes_4626.png","2 FACTS YOU WILL NEVER SEE ON FOX ""NEWS"":
EVERY REPUBLICAN PRESIDENT SINCE 1981
HAS RAISED THE DEFICIT
AND THESE ARE THE ONLY
PRESIDENTS IN THE LAST 50 YEARS
WHO REDUCED THE FEDERAL DEFICIT.
OCCUPT DEMOCRATS
","hero","barack obama","reducing","barack obama is praised for reducing the country's fiscal deficit.","every republican president since 1981 has raised the deficit and these are the only presidents in"
21,"memes_1424.png","IRONY.
SAMERICA
ERAT AGAIN
THE PARTY WHO FREED THE SLAVES AND FOUGHT FOR
(IVIL RIGHTS IS BEING CALLED ""RACIST"" BY THE PARTY
THAT OWNED THE SLAVES AND STARTED THE KKK.
e.com
","villain","democratic party","racism, hate groups","the democratic party is depicted as supporting racism and hate groups","a poster of a man wearing sunglasses and a red hat"
22,"memes_1461.png","VOTER REGISTRATION
DEMOCRATIC PARTY
REPUBLICAN PARTY
MAROPAR
retrogamingblag
Dont forget to register to votel
","villain","democratic party","unfavourable","the democratic party is shown as an unfavourable option","vote registration democratic party republican party participation party registration logo"
23,"memes_818.png","Was
NOT my
president
Never BECAME
my president
HAIRS IOUOAE
MERKLEY
BULLOCK
SANDIRS
WARRIN
SWALWE
OROURKE
GARBARD
HICKENLOOPER MCAULTE LANDRIEU OILLUM
LCOMBRO BUTIOIEO GARCET KHULUZ OIEDA
and none of these will BE my president.
imgflip com
","villain","barack obama","accused","Barack obama is accused as not a good choice for a president.","a picture of a woman and a picture of a man with the caption never became"
24,"memes_5699.png","Anti-LGBT politician in Ohio
resigns after being 'caught
having sex with man in his
office'
US politics (domestic)
HENTAI.PLOT.TWIST
","villain","wes goodman","victim of his own opposition","Wes goodman is portrayed to be victim of his own opposition.","a man in a suit and tie talking on a television"
25,"memes_1522.png","THE PARTY OF 'DIVERSITY
BLACK
FAKEX
WOMANX
MEXICAN
MOSTLY
GAS
BLACK,
BLACK
GALAXY
DUSTX
SAMOAN
TAIWANESE
WOMAN
MEXICAM
GAY X
OLD WHITE
OLD WHITE
MILLIONAIRE
MILLIONAIRE
","villain","joe biden","non-diverse","joe biden is portrayed as a non-diverse option","the party of diversity poster with photos of different presidents"
26,"memes_1549.png","FACEROF THE RENIOenaIeTY
RCY P
LLARY SLINTL ALERARDI OGA HTEZ
SORRY YOU HAVE HO FUTURE SON
Finding Neverland Meme -
Imgflip
","villain","nancy pelosi","unfavourable","nancy pelosi is shown as an unfavourable leader","a couple of pictures of a man on a bench"
27,"memes_858.png","Ta
Mee Titer
THE BEST ECLIPSE EVER!
","hero","donald trump","much awaited","Donald Trump is glorified as the much awaited president.","a screenshot of the best eclipse ever website with a flag in the background"
28,"memes_4869.png","THE REPUBLICAN PARTY IS THE REAL
VIRUS, AND THEY'RE ALSO
POISONING THE ""DEMOCRATIC""
PARTY WITH FAKE COMRADES LIKE
JOE BYE-DEN
makeamemearg
","villain","joe biden","fake","Joe Biden is villified as a fake comrade.","a poster of a virus with the words promoting the democratic party with fake conspiracies"
29,"memes_4402.png","NO MATTER WHO YOU VOTE FOR
THIS ELECTION WILL BE HISTORIC
1ST FEMALE
PRESIDENT
1ST JEWISH
PRESIDENT
1ST LATINO
PRESIDENT
1ST CANADIAN
PRESIDENT
LAST
PRESIDENT
","villain","donald trump","bringing an end","Donald Trump is portrayed as bringing an end to United States of America.","no matter who you vote for this election will be historic 1st female president 15"
30,"covid_memes_3334.png","MR. PRESIDENT, THEY'RE SAYING
CALLING IT THE WUHAN VIRUS IS RACIST
HOLD MY DIET COKE
THE ""CHINESE VIRUS
TrumpArea.com
","villain","donald trump","racist remarks","Donald Trump is alleged to make racist remarks on coronavirus with China.","the difference between the president and the chinese government"
31,"memes_5067.png","Let's be honest.
IF Jesus had been born
30 years ago, Fox News
and the Republican party
would label him a
dangerous Middle Eastern
man who wants to impose
socialism on the world
and enable the poor.
","villain","fox news","accusing","Fox news is portrayed as accusing even Jesus Christ given a chance.","a poster of a man saying lets be honest"
32,"memes_4991.png","If 147 executive orders make Barack
Obama a ""czar"" and a ""tyrant,"" then
what do 291 make George W. Bush, 381
make Reagan, and 166 make Bush Sr.?
","victim","barack obama","unfair allegations","Barack obama is reported with unfair allegations","a collage of four different pictures of president obama and the american flag"
33,"memes_2783.png","I'm Joe Biden,
and I approve
these riots
MINNER
","villain","joe biden","social unrest","joe biden is framed as promoting social unrest","a man in a suit and tie with the caption im joe biden"
34,"memes_1459.png","FAKE
NEWS
AND
DEMOCRATS
WRONG AGAINI
LAST WEEK MICHIGAN GOVERNOR
GRETCHEN WHITMER THREATENS DOCTORS WHO
USE HYDROKYCHLOROQUINE TO TREAT COVID-19.
NOW MICHIGAN REQUESTS HYDROXYCHLOROQUINE
FROM NATIONAL STOCKPILE TO TREAT COVID-191
","villain","democrats","misinformation","the democrats are framed as spreading misinformation","a broadcast of the debate of the last week michelleocentrists doctors who use"
35,"memes_3310.png","LIBERTARIAN PARTY
ACTUAL LIBERTARIAN
CANDIDATES
[adultswim.com)
WHY DON'T PEOPLE
VOTE FOR US?
(adultswim.com
imgflip.com
","villain","libertarian party","attacking","the libertarian party is shown as attacking its own members","a picture of a person standing in front of a podium with the caption why don"
36,"memes_3418.png","Raise your hand if you agree with Trump on flag burning
Thanks to the Libertarian Party
of Arkansas for this post! To get
involved locally, go to
Ip.org/states!
","villain","donald trump","unsuitable","donald trump is portrayed as having an unsuitable ideology","thanks to the libertarian party of akkansas for this post  go to"
37,"covid_memes_155.png","HOUSE
Dr. Fauci unveils a mask that
could save millions of lives!
","hero","dr. anthony fauci","saving","dr. anthony fauci is lauded for saving many lives","a mask that could save millions of lives news quote"
38,"covid_memes_396.png","DEMOCRATS, IT IS
PRESIDENT TRUMP'S FAULT FOR
THE SPREAD OF THE CORONA VIRUS!
HI, I AM XI JINPING,
COMMUNIST LEADER OF CHINA! I HID
THE OUTBREAK OF THE VIRUS
AND CENSORED THE INFORMATION IN
THE WORLD'S MOST POPULATED COUNTRY!
","victim","donald trump","falsely blamed","Donald Trump is falsely blamed for coronavirus pandemic.","politician is endorsing politician for the presidency in a tv interview"
39,"memes_5040.png","IF MY POLITICAL PARTY
SUDDENLY ATTRACTED
RACISTS, NAZIS AND BIGOTS
TRUPU
TRUM
I WOULD BE
CHECKING MY VALUES
NERCAS CANST THE RERUBLICAN PARTY
IST THE REPUBLICAN PMATY
","villain","donald trump","racism, bigotry","donald trump is villified as inciting racism and bigotry.","a poster of a group of people applauding with the caption if my political party"
40,"covid_memes_20.png","best candidate for
JA
2020
joe biden
Kamala harris
Bernie sanders
TikTok
@eliguthrie
","hero","joe biden","ideal","joe biden is shown as the ideal candidate for elections","a man holding up a picture of himself with the words best candidate for 2020"
41,"memes_6889.png","ADOLF HITLER
PLANNED PARENTHOOD
6 MILLION
JEWS
7 MILLION
BABIES
","villain","cecile richards","restricting birth","cecile richards is villified for restricting birth of millions of babies.","a picture of a man and a woman with the words planned parenthood and 6"
42,"covid_memes_3832.png","Social Greetings Ranked by Chance
of Infection
THEFUNNYBEAVER.COM
*Chance of becoming infected
(if greeting an infected person)
","villain","fist bump","least preferred","fist bump is portrayed to be the least preferred form of greeting in covid situation.","a line graph showing the social greetings ranged by chance of infection"
43,"covid_memes_1593.png","2020 every second
BUT WAIT,
THERE'S MORE
","villain",2020,"annoying","2020 is portryed as annoying","a man in a blue shirt with a tweet saying but wait there is more"
44,"memes_853.png","HAPPY BIRTHDAY
BIG CHIEF
ENJOY YOUR DAY!
President Obama Birthday
Memes
","hero","barack obama","positively","Barack obama is wished positively for his birthday.","a picture of president obama with a congratulatory message happy birthday big chief"
45,"memes_1564.png","THESE BUFFOONS ARE THE FACE OF THE DEMOCRATIC PARTY!
#DUMB
AND
DUMBER
Maxine Waters
Thinks tin
invadeor
Nancy Pelosi:
Thinks Bus the
current Piai
#STAYPROUDMYFRIENDS
Patriots Who Dare... Join our
fight to save America! Click
Here http://bb4sp.com/ #BB4SP
Maxine waters Memes
","villain","maxine waters","unintelligent","maxine waters is shown as unintelligent","two women are on a podcast with a microphone"
46,"memes_6738.png","Biden Confused By Woman
Of Color On TV Who Isn't
Stocking Grocery Shelves
","victim","kamala harris","insinuated","Kamala harris is insinuated as woman of color.","a woman sitting at a table giving a speech to a crowd"
47,"memes_4926.png","JUST BECAUSE I HATE THE ANTI-AMERICAN
COMMIE DEMOCRATS WITH A PASSION
Oenin
DOESNT MAKE ME A REPUBLICAN EITHER
","villain","republican","dislikeable","The republicans are portrayed as dislikeable.","a man talking on a cell phone with the caption just because i hate the ant"
48,"memes_6532.png","Mike Pence: Donald why are you
kissing me, l'm a man
Donald: Joe told me in Indiana you
people do this all the time
","villain","joe biden","inappropriately","Joe Biden is portrayed to inappropriately kiss people while greeting them.","two men standing next to each other next to an american flag"
49,"memes_1591.png","What does it say America, when Democrats will vote to approve
enhancing border security for other countries, yet block and refuse
funding for the border security of their own nation right here in the
United States? Democrats have accused me repeatedly of colluding with
Russia and allowing foreign influences to effect our 2016 presidential
election in my tavor. After these past few years of this shameless
Democrat orchestrated witch hunt against me, I think we all know by
now that was bullshit. Meanwhile, they themselves have colluded with
these George Soros funded organizations that have financed all these
illegal alien caravans we had invading and swarming our southern
border for the express purpose
of Democrats hoping to exploit these hordes of
people coming from only God knows where
and registering them as Democrat voters
to aid them at influencing our 2020
presidential elections in their favor.
Now if that isn't treason folks,
if that isn't treason against the
United States and you the American
people, I don't know what is
","villain","democrats","hypocrites","the democrats are portrayed as being hypocrites","a man in a suit and tie with his hands in the air"
